subject ID,age,gender,handedness,question ID,condition,value
Monolito,24,Male,Rigth handed,0,s1PP - o3PP - s3PP,0.7603809
Monolito,24,Male,Rigth handed,1,s1PP - o3PP - s3PP,0.1031055
Monolito,24,Male,Rigth handed,2,s1PP - o3PP - s3PP,0.9265527
subject ID,age,gender,handedness,question ID,condition,value
Monolito,24,Male,Rigth handed,0,s1PP - o3PP - s3PP,0.08484375
Monolito,24,Male,Rigth handed,1,s1PP - o3PP - s3PP,0.8443359
Monolito,24,Male,Rigth handed,2,s1PP - o3PP - s3PP,0
subject ID,age,gender,handedness,question ID,condition,value
Monolito,24,Male,Rigth handed,0,s1PP - o3PP - s3PP,1
Monolito,24,Male,Rigth handed,1,s1PP - o3PP - s3PP,0.1751074
Monolito,24,Male,Rigth handed,2,s1PP - o3PP - s3PP,1
