subject ID,age,gender,handedness,question ID,condition,value
Ronda,24,Female,Rigth handed,0,s1PP - o3PP - s3PP,0.8552734
Ronda,24,Female,Rigth handed,1,s1PP - o3PP - s3PP,0.1813184
Ronda,24,Female,Rigth handed,2,s1PP - o3PP - s3PP,0.912793
subject ID,age,gender,handedness,question ID,condition,value
Ronda,24,Female,Rigth handed,0,s1PP - o3PP - s3PP,0.06912109
Ronda,24,Female,Rigth handed,1,s1PP - o3PP - s3PP,0.9933301
Ronda,24,Female,Rigth handed,2,s1PP - o3PP - s3PP,0.3896973
subject ID,age,gender,handedness,question ID,condition,value
Ronda,24,Female,Rigth handed,0,s1PP - o3PP - s3PP,0.9069726
Ronda,24,Female,Rigth handed,1,s1PP - o3PP - s3PP,0.132373
Ronda,24,Female,Rigth handed,2,s1PP - o3PP - s3PP,0.5591699
